word,allcount,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,,全ての章で使っているか
forth,4,0,0,0,1,0,0,0,0,0,2,1,0,0,,FALSE
heights,4,0,0,0,1,0,0,0,0,1,2,0,0,0,,FALSE
well,4,0,0,0,1,0,1,0,1,0,0,0,1,0,,FALSE
moon,4,0,0,0,1,1,1,0,0,0,0,0,1,0,,FALSE
clever,4,0,0,0,1,1,1,1,0,0,0,0,0,0,,FALSE
impossible,4,0,0,0,1,0,1,1,0,0,1,0,0,0,,FALSE
moment,4,0,0,0,1,0,0,0,0,1,0,1,1,0,,FALSE
deep,4,0,0,0,1,0,1,0,0,1,0,1,0,0,,FALSE
merely,4,0,0,0,0,2,1,0,0,0,0,0,1,0,,FALSE
signs,4,0,0,0,0,1,0,0,0,3,0,0,0,0,,FALSE
ensure,4,0,0,0,0,1,1,0,0,0,0,2,0,0,,FALSE
pass,4,0,0,0,0,1,0,0,0,1,2,0,0,0,,FALSE
return,4,0,0,0,0,1,0,1,0,1,1,0,0,0,,FALSE
rise,4,0,0,0,0,2,0,0,0,0,0,0,0,2,,FALSE
ever,4,0,0,0,0,3,0,0,0,0,0,0,1,0,,FALSE
head,4,0,0,0,0,1,0,0,0,0,0,3,0,0,,FALSE
tail,4,0,0,0,0,1,0,0,0,0,0,3,0,0,,FALSE
something,4,0,0,0,0,1,1,0,0,0,0,1,1,0,,FALSE
body,4,0,0,0,0,1,1,1,0,0,0,1,0,0,,FALSE
were,4,0,0,0,0,1,0,0,0,0,0,3,0,0,,FALSE
mountain,4,0,0,0,0,1,0,1,0,1,0,1,0,0,,FALSE
height,4,0,0,0,0,1,0,0,0,0,0,1,1,1,,FALSE
whoever,4,0,0,0,0,0,4,0,0,0,0,0,0,0,,FALSE
several,4,0,0,0,0,0,2,0,0,1,1,0,0,0,,FALSE
strengthen,4,0,0,0,0,0,4,0,0,0,0,0,0,0,,FALSE
van,4,0,0,0,0,0,4,0,0,0,0,0,0,0,,FALSE
weaken,4,0,0,0,0,0,4,0,0,0,0,0,0,0,,FALSE
comes,4,0,0,0,0,0,1,2,0,0,0,1,0,0,,FALSE
concentrate,4,0,0,0,0,0,1,1,0,1,0,1,0,0,,FALSE
spots,4,0,0,0,0,0,1,0,0,0,2,1,0,0,,FALSE
none,4,0,0,0,0,0,1,0,0,0,0,0,0,3,,FALSE
facing,4,0,0,0,0,0,1,0,0,3,0,0,0,0,,FALSE
just,4,0,0,0,0,0,1,0,0,0,0,3,0,0,,FALSE
gain,4,0,0,0,0,0,0,1,0,1,1,0,1,0,,FALSE
fall,4,0,0,0,0,0,0,3,0,1,0,0,0,0,,FALSE
mountains,4,0,0,0,0,0,0,1,0,1,0,2,0,0,,FALSE
meet,4,0,0,0,0,0,0,0,0,3,0,0,1,0,,FALSE
rising,4,0,0,0,0,0,0,0,0,3,0,0,1,0,,FALSE
sunny,4,0,0,0,0,0,0,0,0,2,2,0,0,0,,FALSE
between,4,0,0,0,0,0,0,0,0,1,0,3,0,0,,FALSE
critical,4,0,0,0,0,0,0,0,0,1,0,2,1,0,,FALSE
stand,4,0,0,0,0,0,0,0,0,1,2,1,0,0,,FALSE
orders,4,0,0,0,0,0,0,0,0,1,1,2,0,0,,FALSE
six,4,0,0,0,0,0,0,0,0,0,4,0,0,0,,FALSE
things,4,0,0,0,0,0,0,0,0,0,1,1,0,2,,FALSE
dispersive,4,0,0,0,0,0,0,0,0,0,0,4,0,0,,FALSE
contentious,4,0,0,0,0,0,0,0,0,0,0,4,0,0,,FALSE
was,4,0,0,0,0,0,0,0,0,0,0,1,0,3,,FALSE
because,4,0,0,0,0,0,0,0,0,0,0,2,0,2,,FALSE
business,4,0,0,0,0,0,0,0,0,0,0,2,0,2,,FALSE
burn,4,0,0,0,0,0,0,0,0,0,0,0,4,0,,FALSE
life,3,2,0,0,0,0,0,0,0,0,0,0,1,0,,FALSE
road,3,1,0,0,0,0,0,0,0,1,0,1,0,0,,FALSE
ruin,3,1,0,0,0,0,0,0,0,0,2,0,0,0,,FALSE
subject,3,1,0,0,0,1,0,0,1,0,0,0,0,0,,FALSE
constant,3,1,0,0,0,0,2,0,0,0,0,0,0,0,,FALSE
lives,3,1,0,0,0,0,0,0,0,0,0,2,0,0,,FALSE
seasons,3,1,0,0,0,1,1,0,0,0,0,0,0,0,,FALSE
roads,3,1,0,0,0,0,0,0,2,0,0,0,0,0,,FALSE
supplies,3,1,0,0,0,0,0,0,0,0,1,1,0,0,,FALSE
expenditure,3,1,1,0,0,0,0,0,0,0,0,0,0,1,,FALSE
familiar,3,1,0,0,0,0,0,1,0,0,0,1,0,0,,FALSE
victorious,3,1,0,0,2,0,0,0,0,0,0,0,0,0,,FALSE
fail,3,1,0,0,0,0,0,0,1,0,1,0,0,0,,FALSE
enforced,3,1,0,0,0,0,0,0,0,2,0,0,0,0,,FALSE
stronger,3,1,0,0,0,0,1,1,0,0,0,0,0,0,,FALSE
greater,3,1,0,0,0,0,0,0,0,0,0,1,0,1,,FALSE
counsel,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
also,3,1,0,1,0,0,0,0,0,0,1,0,0,0,,FALSE
beyond,3,1,0,0,1,0,0,0,0,0,0,0,0,1,,FALSE
ordinary,3,1,0,0,0,0,0,1,0,0,0,0,0,1,,FALSE
using,3,1,1,0,0,0,0,0,0,0,0,0,0,1,,FALSE
crush,3,1,0,0,0,0,0,0,0,0,0,1,0,1,,FALSE
superior,3,1,0,1,0,0,1,0,0,0,0,0,0,0,,FALSE
temper,3,1,0,0,0,0,0,1,1,0,0,0,0,0,,FALSE
unprepared,3,1,0,1,0,0,0,0,0,0,1,0,0,0,,FALSE
beforehand,3,2,0,0,0,0,0,0,0,0,1,0,0,0,,FALSE
wins,3,1,0,0,2,0,0,0,0,0,0,0,0,0,,FALSE
lose,3,1,0,0,0,0,0,1,0,0,0,1,0,0,,FALSE
operations,3,0,1,1,0,0,0,0,0,1,0,0,0,0,,FALSE
provisions,3,0,2,0,0,0,0,1,0,0,0,0,0,0,,FALSE
total,3,0,2,0,0,0,0,0,0,0,0,1,0,0,,FALSE
ounces,3,0,1,0,0,0,0,0,0,0,0,0,0,2,,FALSE
silver,3,0,1,0,0,0,0,0,0,0,0,0,0,2,,FALSE
raising,3,0,1,0,0,0,0,0,0,0,0,0,1,1,,FALSE
siege,3,0,1,2,0,0,0,0,0,0,0,0,0,0,,FALSE
equal,3,0,1,0,0,0,0,0,0,0,2,0,0,0,,FALSE
instance,3,0,1,0,0,0,0,0,0,1,0,0,0,1,,FALSE
thoroughly,3,0,2,0,0,0,0,0,1,0,0,0,0,0,,FALSE
substance,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,FALSE
loss,3,0,1,0,0,0,0,0,0,0,1,0,0,1,,FALSE
horses,3,0,1,0,0,0,0,0,0,1,0,1,0,0,,FALSE
rewards,3,0,1,0,0,0,0,0,0,1,0,1,0,0,,FALSE
ten,3,0,1,1,0,0,0,0,0,0,1,0,0,0,,FALSE
used,3,0,1,0,0,1,0,0,0,0,0,0,0,1,,FALSE
captured,3,0,1,1,0,0,0,0,0,1,0,0,0,0,,FALSE
treated,3,0,1,0,0,0,0,0,0,1,0,0,0,1,,FALSE
foe,3,0,1,0,0,0,1,1,0,0,0,0,0,0,,FALSE
object,3,0,1,0,0,0,0,1,0,0,0,0,0,1,,FALSE
fate,3,0,1,0,0,0,1,0,0,0,0,0,1,0,,FALSE
peace,3,0,1,0,0,0,0,0,0,1,0,0,1,0,,FALSE
practical,3,0,0,1,0,0,0,0,1,0,1,0,0,0,,FALSE
intact,3,0,0,2,0,0,0,0,0,0,0,0,1,0,,FALSE
supreme,3,0,0,2,0,0,0,0,0,1,0,0,0,0,,FALSE
highest,3,0,0,1,0,0,1,0,0,0,0,0,0,1,,FALSE
empire,3,0,0,1,1,0,0,0,0,0,0,1,0,0,,FALSE
equally,3,0,0,1,0,0,2,0,0,0,0,0,0,0,,FALSE
offer,3,0,0,1,0,0,0,0,0,0,1,1,0,0,,FALSE
bulwark,3,0,0,3,0,0,0,0,0,0,0,0,0,0,,FALSE
ways,3,0,0,1,0,0,0,0,0,0,1,0,1,0,,FALSE
misfortune,3,0,0,1,0,0,0,1,1,0,0,0,0,0,,FALSE
ignorance,3,0,0,1,0,0,0,0,0,0,0,1,0,1,,FALSE
trouble,3,0,0,1,0,0,0,0,2,0,0,0,0,0,,FALSE
handle,3,0,0,1,0,0,0,0,1,0,0,1,0,0,,FALSE
fear,3,0,0,1,0,1,0,0,0,0,0,1,0,0,,FALSE
old,3,0,0,0,1,0,0,0,0,0,0,1,0,1,,FALSE
themselves,3,0,0,0,1,0,0,0,0,2,0,0,0,0,,FALSE
defensive,3,0,0,0,2,0,0,0,0,0,0,1,0,0,,FALSE
defense,3,0,0,0,1,0,2,0,0,0,0,0,0,0,,FALSE
common,3,0,0,0,1,0,0,0,0,0,2,0,0,0,,FALSE
afterwards,3,0,0,0,1,0,0,0,0,1,0,1,0,0,,FALSE
power,3,0,0,0,1,0,0,0,0,0,1,1,0,0,,FALSE
success,3,0,0,0,1,0,1,0,0,0,0,1,0,0,,FALSE
measurement,3,0,0,0,3,0,0,0,0,0,0,0,0,0,,FALSE
estimation,3,0,0,0,3,0,0,0,0,0,0,0,0,0,,FALSE
quantity,3,0,0,0,3,0,0,0,0,0,0,0,0,0,,FALSE
balancing,3,0,0,0,3,0,0,0,0,0,0,0,0,0,,FALSE
effected,3,0,0,0,0,3,0,0,0,0,0,0,0,0,,FALSE
joining,3,0,0,0,0,1,0,0,0,1,0,1,0,0,,FALSE
methods,3,0,0,0,0,2,1,0,0,0,0,0,0,0,,FALSE
combination,3,0,0,0,0,3,0,0,0,0,0,0,0,0,,FALSE
rush,3,0,0,0,0,1,0,0,1,0,0,1,0,0,,FALSE
course,3,0,0,0,0,1,2,0,0,0,0,0,0,0,,FALSE
decision,3,0,0,0,0,3,0,0,0,0,0,0,0,0,,FALSE
likened,3,0,0,0,0,1,0,0,0,0,1,1,0,0,,FALSE
array,3,0,0,0,0,1,0,1,0,0,0,1,0,0,,FALSE
simulated,3,0,0,0,0,3,0,0,0,0,0,0,0,0,,FALSE
postulates,3,0,0,0,0,3,0,0,0,0,0,0,0,0,,FALSE
weakness,3,0,0,0,0,2,1,0,0,0,0,0,0,0,,FALSE
show,3,0,0,0,0,1,0,0,0,0,0,1,1,0,,FALSE
keeps,3,0,0,0,0,1,0,0,0,1,0,1,0,0,,FALSE
combined,3,0,0,0,0,3,0,0,0,0,0,0,0,0,,FALSE
become,3,0,0,0,0,1,0,0,0,1,0,0,0,1,,FALSE
unto,3,0,0,0,0,1,1,0,0,0,1,0,0,0,,FALSE
hasten,3,0,0,0,0,0,3,0,0,0,0,0,0,0,,FALSE
arrive,3,0,0,0,0,0,2,1,0,0,0,0,0,0,,FALSE
approach,3,0,0,0,0,0,1,0,0,2,0,0,0,0,,FALSE
secrecy,3,0,0,0,0,0,1,0,0,0,0,1,0,1,,FALSE
wish,3,0,0,0,0,0,2,0,0,1,0,0,0,0,,FALSE
forced,3,0,0,0,0,0,1,1,0,1,0,0,0,0,,FALSE
some,3,0,0,0,0,0,1,0,0,2,0,0,0,0,,FALSE
opponents,3,0,0,0,0,0,1,0,0,1,0,1,0,0,,FALSE
straits,3,0,0,0,0,0,1,0,0,0,0,2,0,0,,FALSE
adversary,3,0,0,0,0,0,1,0,0,0,2,0,0,0,,FALSE
goal,3,0,0,0,0,0,0,3,0,0,0,0,0,0,,FALSE
dangerous,3,0,0,0,0,0,0,1,2,0,0,0,0,0,,FALSE
lost,3,0,0,0,0,0,0,3,0,0,0,0,0,0,,FALSE
designs,3,0,0,0,0,0,0,1,0,0,0,2,0,0,,FALSE
forests,3,0,0,0,0,0,0,1,0,0,0,2,0,0,,FALSE
marshes,3,0,0,0,0,0,0,1,0,0,0,2,0,0,,FALSE
rapidity,3,0,0,0,0,0,0,1,0,0,0,2,0,0,,FALSE
wind,3,0,0,0,0,0,0,1,0,0,0,0,2,0,,FALSE
drums,3,0,0,0,0,0,0,3,0,0,0,0,0,0,,FALSE
eyes,3,0,0,0,0,0,0,2,0,0,0,1,0,0,,FALSE
robbed,3,0,0,0,0,0,0,2,0,0,0,0,1,0,,FALSE
commander-in-chief,3,0,0,0,0,0,0,1,0,0,1,1,0,0,,FALSE
mind,3,0,0,0,0,0,0,2,0,0,0,0,0,1,,FALSE
bait,3,0,0,0,0,0,0,1,0,1,1,0,0,0,,FALSE
allies,3,0,0,0,0,0,0,0,1,0,0,2,0,0,,FALSE
together,3,0,0,0,0,0,0,0,1,1,0,0,0,1,,FALSE
faults,3,0,0,0,0,0,0,0,2,0,1,0,0,0,,FALSE
neighborhood,3,0,0,0,0,0,0,0,0,2,0,1,0,0,,FALSE
crossing,3,0,0,0,0,0,0,0,0,2,0,1,0,0,,FALSE
invading,3,0,0,0,0,0,0,0,0,1,0,2,0,0,,FALSE
deliver,3,0,0,0,0,0,0,0,0,1,1,0,1,0,,FALSE
grass,3,0,0,0,0,0,0,0,0,3,0,0,0,0,,FALSE
back,3,0,0,0,0,0,0,0,0,1,0,0,1,1,,FALSE
accessible,3,0,0,0,0,0,0,0,0,1,2,0,0,0,,FALSE
occupy,3,0,0,0,0,0,0,0,0,1,2,0,0,0,,FALSE
precipitous,3,0,0,0,0,0,0,0,0,1,2,0,0,0,,FALSE
running,3,0,0,0,0,0,0,0,0,2,0,1,0,0,,FALSE
close,3,0,0,0,0,0,0,0,0,2,0,1,0,0,,FALSE
quiet,3,0,0,0,0,0,0,0,0,1,0,1,1,0,,FALSE
advancing,3,0,0,0,0,0,0,0,0,3,0,0,0,0,,FALSE
dust,3,0,0,0,0,0,0,0,0,3,0,0,0,0,,FALSE
sent,3,0,0,0,0,0,0,0,0,3,0,0,0,0,,FALSE
about,3,0,0,0,0,0,0,0,0,3,0,0,0,0,,FALSE
forward,3,0,0,0,0,0,0,0,0,1,0,1,1,0,,FALSE
authority,3,0,0,0,0,0,0,0,0,1,2,0,0,0,,FALSE
intelligence,3,0,0,0,0,0,0,0,0,1,0,0,1,1,,FALSE
situation,3,0,0,0,0,0,0,0,0,1,0,2,0,0,,FALSE
available,3,0,0,0,0,0,0,0,0,1,0,0,1,1,,FALSE
useless,3,0,0,0,0,0,0,0,0,2,1,0,0,0,,FALSE
garrisoned,3,0,0,0,0,0,0,0,0,0,3,0,0,0,,FALSE
try,3,0,0,0,0,0,0,0,0,0,1,2,0,0,,FALSE
principles,3,0,0,0,0,0,0,0,0,0,1,2,0,0,,FALSE
responsible,3,0,0,0,0,0,0,0,0,0,3,0,0,0,,FALSE
unaware,3,0,0,0,0,0,0,0,0,0,3,0,0,0,,FALSE
gone,3,0,0,0,0,0,0,0,0,0,3,0,0,0,,FALSE
halfway,3,0,0,0,0,0,0,0,0,0,3,0,0,0,,FALSE
towards,3,0,0,0,0,0,0,0,0,0,3,0,0,0,,FALSE
nine,3,0,0,0,0,0,0,0,0,0,0,3,0,0,,FALSE
varieties,3,0,0,0,0,0,0,0,0,0,0,2,0,1,,FALSE
block,3,0,0,0,0,0,0,0,0,0,0,3,0,0,,FALSE
asked,3,0,0,0,0,0,0,0,0,0,0,3,0,0,,FALSE
penetrate,3,0,0,0,0,0,0,0,0,0,0,3,0,0,,FALSE
achieve,3,0,0,0,0,0,0,0,0,0,0,1,0,2,,FALSE
help,3,0,0,0,0,0,0,0,0,0,0,2,0,1,,FALSE
itself,3,0,0,0,0,0,0,0,0,0,0,3,0,0,,FALSE
brought,3,0,0,0,0,0,0,0,0,0,0,1,1,1,,FALSE
shuai-jan,3,0,0,0,0,0,0,0,0,0,0,3,0,0,,FALSE
had,3,0,0,0,0,0,0,0,0,0,0,1,0,2,,FALSE
enlightened,3,0,0,0,0,0,0,0,0,0,0,0,2,1,,FALSE
inward,3,0,0,0,0,0,0,0,0,0,0,0,0,3,,FALSE
doomed,3,0,0,0,0,0,0,0,0,0,0,0,0,3,,FALSE
surviving,3,0,0,0,0,0,0,0,0,0,0,0,0,3,,FALSE
purposes,3,0,0,0,0,0,0,0,0,0,0,0,0,3,,FALSE
subtle,3,0,0,0,0,0,0,0,0,0,0,0,0,3,,FALSE
information,3,0,0,0,0,0,0,0,0,0,0,0,0,3,,FALSE
laying,2,1,0,1,0,0,0,0,0,0,0,0,0,0,,FALSE
matter,2,1,0,0,0,0,1,0,0,0,0,0,0,0,,FALSE
taken,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,FALSE
deliberations,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
seeking,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
determine,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
commander,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
accord,2,1,0,0,0,0,1,0,0,0,0,0,0,0,,FALSE
times,2,1,0,0,0,0,0,0,0,0,1,0,0,0,,FALSE
security,2,1,0,0,1,0,0,0,0,0,0,0,0,0,,FALSE
wisdom,2,1,0,0,1,0,0,0,0,0,0,0,0,0,,FALSE
benevolence,2,1,0,0,0,0,0,0,0,0,0,0,0,1,,FALSE
among,2,1,0,0,0,0,0,0,1,0,0,0,0,0,,FALSE
sovereigns,2,1,0,0,0,0,0,0,0,1,0,0,0,0,,FALSE
lie,2,1,0,0,0,0,0,0,0,1,0,0,0,0,,FALSE
derived,2,1,0,0,0,0,0,0,0,0,0,0,0,1,,FALSE
seven,2,1,0,0,0,0,0,0,0,0,0,0,0,1,,FALSE
considerations,2,1,0,0,0,0,0,0,1,0,0,0,0,0,,FALSE
hearkens,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
suffer,2,1,0,1,0,0,0,0,0,0,0,0,0,0,,FALSE
favorable,2,1,0,0,0,0,0,0,0,0,0,0,1,0,,FALSE
modify,2,1,0,0,0,0,1,0,0,0,0,0,0,0,,FALSE
deception,2,1,0,0,0,0,0,0,0,0,0,0,0,1,,FALSE
seem,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
believe,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
baits,2,1,0,0,0,1,0,0,0,0,0,0,0,0,,FALSE
entice,2,1,0,0,0,0,0,0,0,0,1,0,0,0,,FALSE
grow,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,FALSE
separate,2,1,0,0,0,0,1,0,0,0,0,0,0,0,,FALSE
appear,2,1,0,0,0,0,1,0,0,0,0,0,0,0,,FALSE
expected,2,1,0,0,0,0,1,0,0,0,0,0,0,0,,FALSE
leading,2,1,0,0,0,0,0,0,0,0,0,1,0,0,,FALSE
divulged,2,1,0,0,0,0,0,0,0,0,0,0,0,1,,FALSE
likely,2,1,0,0,0,0,0,0,0,1,0,0,0,0,,FALSE
spent,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,FALSE
engage,2,0,1,0,0,0,0,0,0,0,1,0,0,0,,FALSE
weapons,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,FALSE
ardor,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,FALSE
damped,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,FALSE
town,2,0,1,1,0,0,0,0,0,0,0,0,0,0,,FALSE
exhaust,2,0,1,0,0,1,0,0,0,0,0,0,0,0,,FALSE
however,2,0,1,0,0,0,0,0,0,0,1,0,0,0,,FALSE
ensue,2,0,1,0,0,0,0,0,0,0,1,0,0,0,,FALSE
heard,2,0,1,0,0,1,0,0,0,0,0,0,0,0,,FALSE
understand,2,0,1,0,0,0,0,0,1,0,0,0,0,0,,FALSE
twice,2,0,1,1,0,0,0,0,0,0,0,0,0,0,,FALSE
material,2,0,1,0,0,0,0,0,0,0,0,0,1,0,,FALSE
maintained,2,0,1,0,0,0,0,0,0,0,0,0,0,1,,FALSE
maintain,2,0,1,0,0,0,0,0,0,0,0,1,0,0,,FALSE
prices,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,FALSE
drained,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,FALSE
broken,2,0,1,0,0,0,0,0,0,0,1,0,0,0,,FALSE
spears,2,0,1,0,0,0,0,0,0,1,0,0,0,0,,FALSE
amount,2,0,1,0,0,0,0,0,0,0,0,0,0,1,,FALSE
equivalent,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,FALSE
twenty,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,FALSE
likewise,2,0,1,0,0,0,0,0,0,0,0,0,0,1,,FALSE
anger,2,0,1,0,0,0,0,0,0,0,0,0,1,0,,FALSE
chariot,2,0,1,0,0,0,0,0,0,0,0,1,0,0,,FALSE
rewarded,2,0,1,0,0,0,0,0,0,0,0,0,0,1,,FALSE
ours,2,0,1,0,0,0,0,0,0,1,0,0,0,0,,FALSE
lengthy,2,0,1,1,0,0,0,0,0,0,0,0,0,0,,FALSE
depends,2,0,1,0,0,0,0,0,0,0,0,0,0,1,,FALSE
peril,2,0,1,0,0,0,0,0,0,0,0,1,0,0,,FALSE
thing,2,0,0,1,0,0,0,0,0,0,0,1,0,0,,FALSE
entire,2,0,0,2,0,0,0,0,0,0,0,0,0,0,,FALSE
detachment,2,0,0,1,0,0,0,0,0,0,1,0,0,0,,FALSE
consists,2,0,0,1,0,0,0,1,0,0,0,0,0,0,,FALSE
resistance,2,0,0,1,0,0,0,0,0,0,0,1,0,0,,FALSE
form,2,0,0,1,0,0,1,0,0,0,0,0,0,0,,FALSE
generalship,2,0,0,1,0,0,0,0,0,0,0,1,0,0,,FALSE
next,2,0,0,2,0,0,0,0,0,0,0,0,0,0,,FALSE
besiege,2,0,0,2,0,0,0,0,0,0,0,0,0,0,,FALSE
walled,2,0,0,2,0,0,0,0,0,0,0,0,0,0,,FALSE
months,2,0,0,2,0,0,0,0,0,0,0,0,0,0,,FALSE
assault,2,0,0,1,0,0,0,0,0,0,0,0,1,0,,FALSE
slain,2,0,0,1,0,0,0,0,1,0,0,0,0,0,,FALSE
remains,2,0,0,1,0,0,0,0,0,1,0,0,0,0,,FALSE
surround,2,0,0,1,0,0,0,1,0,0,0,0,0,0,,FALSE
divide,2,0,0,1,0,0,0,1,0,0,0,0,0,0,,FALSE
avoid,2,0,0,1,0,0,1,0,0,0,0,0,0,0,,FALSE
obstinate,2,0,0,1,0,0,0,0,0,0,0,1,0,0,,FALSE
larger,2,0,0,1,0,0,0,0,0,0,1,0,0,0,,FALSE
ignorant,2,0,0,2,0,0,0,0,0,0,0,0,0,0,,FALSE
fact,2,0,0,1,0,0,0,0,1,0,0,0,0,0,,FALSE
obey,2,0,0,1,0,0,0,0,0,0,0,1,0,0,,FALSE
obtain,2,0,0,1,0,0,0,0,0,1,0,0,0,0,,FALSE
employing,2,0,0,1,0,0,0,0,0,0,0,0,0,1,,FALSE
confidence,2,0,0,1,0,0,0,0,0,1,0,0,0,0,,FALSE
princes,2,0,0,1,0,0,0,0,0,0,0,1,0,0,,FALSE
ranks,2,0,0,1,0,0,0,0,0,0,1,0,0,0,,FALSE
opportunity,2,0,0,0,2,0,0,0,0,0,0,0,0,0,,FALSE
lies,2,0,0,0,1,1,0,0,0,0,0,0,0,0,,FALSE
skilled,2,0,0,0,2,0,0,0,0,0,0,0,0,0,,FALSE
protect,2,0,0,0,1,0,0,0,0,0,1,0,0,0,,FALSE
within,2,0,0,0,1,0,0,0,0,0,0,0,1,0,,FALSE
acme,2,0,0,0,2,0,0,0,0,0,0,0,0,0,,FALSE
says,2,0,0,0,1,0,0,1,0,0,0,0,0,0,,FALSE
sight,2,0,0,0,1,0,0,0,0,1,0,0,0,0,,FALSE
winning,2,0,0,0,1,0,1,0,0,0,0,0,0,0,,FALSE
mistakes,2,0,0,0,2,0,0,0,0,0,0,0,0,0,,FALSE
conquering,2,0,0,0,2,0,0,0,0,0,0,0,0,0,,FALSE
defeated,2,0,0,0,1,0,0,0,0,0,1,0,0,0,,FALSE
puts,2,0,0,0,1,0,0,0,0,0,1,0,0,0,,FALSE
looks,2,0,0,0,1,1,0,0,0,0,0,0,0,0,,FALSE
cultivates,2,0,0,0,1,0,0,0,0,0,0,0,1,0,,FALSE
routed,2,0,0,0,1,0,0,0,0,1,0,0,0,0,,FALSE
grain,2,0,0,0,1,0,0,0,0,1,0,0,0,0,,FALSE
maneuvers,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,FALSE
combinations,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,FALSE
yellow,2,0,0,0,0,1,0,0,0,1,0,0,0,0,,FALSE
moving,2,0,0,0,0,1,0,0,0,1,0,0,0,0,,FALSE
onset,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,FALSE
roll,2,0,0,0,0,1,0,1,0,0,0,0,0,0,,FALSE
stones,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,FALSE
along,2,0,0,0,0,1,0,0,0,0,0,1,0,0,,FALSE
enables,2,0,0,0,0,1,0,0,0,0,0,0,0,1,,FALSE
amid,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,FALSE
perfect,2,0,0,0,0,1,0,1,0,0,0,0,0,0,,FALSE
keeping,2,0,0,0,0,1,0,0,0,0,0,1,0,0,,FALSE
appearances,2,0,0,0,0,1,0,0,0,0,0,1,0,0,,FALSE
act,2,0,0,0,0,1,0,0,0,1,0,0,0,0,,FALSE
snatch,2,0,0,0,0,1,0,1,0,0,0,0,0,0,,FALSE
holding,2,0,0,0,0,1,1,0,0,0,0,0,0,0,,FALSE
picked,2,0,0,0,0,1,0,0,0,0,1,0,0,0,,FALSE
combatant,2,0,0,0,0,1,1,0,0,0,0,0,0,0,,FALSE
utilize,2,0,0,0,0,1,0,0,0,1,0,0,0,0,,FALSE
rolling,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,FALSE
stone,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,FALSE
level,2,0,0,0,0,1,0,0,0,1,0,0,0,0,,FALSE
slope,2,0,0,0,0,1,0,0,0,1,0,0,0,0,,FALSE
awaits,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,FALSE
fresh,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,FALSE
inflicting,2,0,0,0,0,0,1,0,1,0,0,0,0,0,,FALSE
damage,2,0,0,0,0,0,1,0,1,0,0,0,0,0,,FALSE
draw,2,0,0,0,0,0,1,0,0,1,0,0,0,0,,FALSE
defend,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,FALSE
distress,2,0,0,0,0,0,1,0,0,1,0,0,0,0,,FALSE
marches,2,0,0,0,0,0,1,1,0,0,0,0,0,0,,FALSE
divine,2,0,0,0,0,0,1,0,0,0,0,0,0,1,,FALSE
learn,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,FALSE
invisible,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,FALSE
retire,2,0,0,0,0,0,1,0,0,0,0,1,0,0,,FALSE
safe,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,FALSE
movements,2,0,0,0,0,0,1,0,0,0,0,0,1,0,,FALSE
relieve,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,FALSE
encampment,2,0,0,0,0,0,1,0,0,1,0,0,0,0,,FALSE
throw,2,0,0,0,0,0,1,0,0,0,0,1,0,0,,FALSE
concentrated,2,0,0,0,0,0,1,1,0,0,0,0,0,0,,FALSE
divided,2,0,0,0,0,0,1,1,0,0,0,0,0,0,,FALSE
parts,2,0,0,0,0,0,1,0,0,0,0,1,0,0,,FALSE
dire,2,0,0,0,0,0,1,0,0,1,0,0,0,0,,FALSE
spot,2,0,0,0,0,0,1,0,0,1,0,0,0,0,,FALSE
prepare,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,FALSE
