word,allcount,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,,全ての章で使っているか
other,16,0,2,1,1,1,2,1,1,1,1,2,0,3,,FALSE
way,16,0,1,2,0,0,3,1,1,0,0,7,1,0,,FALSE
against,16,0,0,1,4,2,4,1,0,0,2,2,0,0,,FALSE
defeat,15,3,0,1,7,1,0,0,0,0,3,0,0,0,,FALSE
than,15,0,1,2,0,7,1,1,0,2,0,0,0,1,,FALSE
like,15,0,0,1,1,7,1,3,0,0,0,2,0,0,,FALSE
tzu,14,1,1,1,1,1,2,1,1,1,1,1,1,1,,TRUE
said,14,1,1,1,1,1,2,1,1,1,1,1,1,1,,TRUE
art,14,2,0,1,0,0,1,7,2,0,0,1,0,0,,FALSE
let,14,3,1,0,0,0,1,3,1,2,1,2,0,0,,FALSE
order,14,0,1,1,0,2,1,5,0,1,0,2,1,0,,FALSE
first,14,0,1,0,2,0,2,1,0,2,2,2,1,1,,FALSE
force,14,0,0,2,1,1,3,1,0,1,2,2,1,0,,FALSE
fire,14,0,0,0,0,0,1,1,0,0,0,0,12,0,,FALSE
great,13,1,1,0,1,0,1,0,0,1,3,3,0,2,,FALSE
away,13,2,2,1,0,1,1,0,0,2,1,2,0,1,,FALSE
weak,13,1,0,1,0,1,4,0,0,1,4,1,0,0,,FALSE
take,13,0,1,4,0,0,0,2,0,3,0,3,0,0,,FALSE
come,13,0,0,1,0,2,0,0,0,4,2,2,1,1,,FALSE
use,13,0,0,0,0,0,0,2,1,0,0,2,3,5,,FALSE
any,12,2,0,1,0,0,1,0,1,3,1,2,0,1,,FALSE
forces,12,2,0,4,0,0,2,1,1,0,1,1,0,0,,FALSE
where,12,2,1,0,0,0,5,0,1,1,0,0,2,0,,FALSE
though,12,0,1,1,0,0,4,1,1,0,2,2,0,0,,FALSE
cannot,12,0,0,1,1,0,2,1,0,0,0,2,0,5,,FALSE
move,12,0,0,0,0,2,1,2,0,1,1,2,2,1,,FALSE
march,12,0,0,0,0,1,2,4,0,3,0,2,0,0,,FALSE
keep,12,0,0,0,0,0,1,0,1,3,0,6,1,0,,FALSE
officers,11,2,0,1,0,0,0,0,0,1,4,3,0,0,,FALSE
able,11,1,1,0,2,0,1,0,1,0,1,3,0,1,,FALSE
does,11,0,1,0,1,1,3,1,1,0,0,3,0,0,,FALSE
those,11,0,2,0,0,0,1,0,0,1,0,3,3,1,,FALSE
too,11,0,0,1,0,1,0,2,0,2,4,1,0,0,,FALSE
result,11,0,0,2,0,0,0,0,0,0,8,0,1,0,,FALSE
what,11,0,0,0,2,0,6,0,0,1,0,1,0,1,,FALSE
position,11,0,0,0,1,0,0,0,2,3,4,0,1,0,,FALSE
rear,11,0,0,0,0,0,4,0,0,3,0,4,0,0,,FALSE
camp,11,0,0,0,0,0,0,2,0,4,1,1,2,1,,FALSE
plans,10,2,0,1,0,0,1,1,2,0,0,2,1,0,,FALSE
field,10,1,1,2,0,0,4,1,0,0,0,0,1,0,,FALSE
therefore,10,1,1,1,0,1,2,1,0,1,0,2,0,0,,FALSE
my,10,3,0,0,0,0,1,0,0,0,0,6,0,0,,FALSE
nor,10,1,0,1,1,0,1,2,0,0,1,1,1,1,,FALSE
while,10,1,1,1,0,0,2,3,0,2,0,0,0,0,,FALSE
much,10,1,0,0,0,2,1,1,0,5,0,0,0,0,,FALSE
called,10,0,1,1,1,0,1,0,0,0,3,2,0,1,,FALSE
good,10,0,0,1,2,2,0,0,0,0,1,1,2,1,,FALSE
troops,10,0,0,1,0,1,0,1,1,2,0,2,2,0,,FALSE
tactics,10,0,0,0,1,1,5,0,2,0,0,1,0,0,,FALSE
water,10,0,0,0,0,0,5,0,0,2,0,0,2,1,,FALSE
before,10,0,0,0,0,0,0,3,0,1,3,2,0,1,,FALSE
would,10,0,0,0,0,0,0,0,0,0,0,10,0,0,,FALSE
earth,9,3,0,0,2,1,1,0,0,0,2,0,0,0,,FALSE
open,9,1,0,0,0,0,0,0,0,0,3,5,0,0,,FALSE
military,9,3,0,2,1,0,1,1,0,1,0,0,0,0,,FALSE
such,9,2,2,1,0,0,0,2,0,1,1,0,0,0,,FALSE
now,9,1,2,1,0,0,0,1,0,1,1,1,0,1,,FALSE
how,9,1,0,1,1,0,2,0,1,0,0,3,0,0,,FALSE
skillful,9,0,1,1,1,1,2,0,0,0,0,3,0,0,,FALSE
whole,9,0,0,2,1,1,2,1,0,0,0,1,0,1,,FALSE
being,9,0,0,2,1,0,1,0,0,1,2,0,1,1,,FALSE
energy,9,0,0,0,0,8,0,0,0,0,0,1,0,0,,FALSE
even,9,0,0,0,0,1,3,0,1,0,4,0,0,0,,FALSE
desperate,9,0,0,0,0,0,0,1,1,0,0,7,0,0,,FALSE
state,8,1,2,3,0,0,0,0,0,0,0,1,0,1,,FALSE
death,8,2,0,0,0,0,0,0,0,1,1,3,0,1,,FALSE
ruler,8,1,0,1,0,0,0,0,0,0,2,0,3,1,,FALSE
knows,8,2,0,2,0,0,0,0,1,0,2,1,0,0,,FALSE
most,8,2,0,0,1,0,0,1,0,0,0,2,0,2,,FALSE
unable,8,1,0,1,0,0,1,1,0,0,3,1,0,0,,FALSE
disorder,8,1,0,0,0,4,0,1,0,0,1,1,0,0,,FALSE
points,8,1,0,1,0,1,4,0,0,1,0,0,0,0,,FALSE
win,8,1,0,5,0,0,0,0,0,0,1,0,1,0,,FALSE
thousand,8,0,4,0,1,0,0,0,0,0,0,0,0,3,,FALSE
chariots,8,0,6,0,0,0,0,0,0,2,0,0,0,0,,FALSE
long,8,0,2,0,0,0,1,1,0,1,0,2,1,0,,FALSE
hand,8,0,1,0,1,0,0,1,1,1,0,3,0,0,,FALSE
leader,8,0,1,1,1,0,0,1,2,0,0,1,0,1,,FALSE
sovereign,8,0,0,1,0,0,0,1,2,0,1,0,0,3,,FALSE
yet,8,0,0,0,0,6,0,0,1,0,0,1,0,0,,FALSE
right,8,0,0,0,0,1,4,0,0,2,0,1,0,0,,FALSE
places,8,0,0,0,0,0,3,0,0,5,0,0,0,0,,FALSE
place,8,0,0,0,0,0,3,0,0,1,1,3,0,0,,FALSE
time,8,0,0,0,0,0,2,0,0,1,0,1,3,1,,FALSE
natural,8,0,0,0,0,0,1,1,0,3,2,1,0,0,,FALSE
knowledge,8,0,0,0,0,0,0,1,1,1,1,1,0,3,,FALSE
unless,8,0,0,0,0,0,0,2,0,1,0,2,3,0,,FALSE
spy,8,0,0,0,0,0,0,0,0,0,0,0,0,8,,FALSE
discipline,7,3,0,0,1,1,0,0,0,2,0,0,0,0,,FALSE
day,7,1,1,0,0,0,0,2,0,0,0,2,0,1,,FALSE
small,7,1,1,1,0,1,0,0,0,1,0,2,0,0,,FALSE
reach,7,1,1,0,0,0,0,3,0,0,0,1,0,1,,FALSE
control,7,1,0,1,1,2,0,0,0,1,0,1,0,0,,FALSE
every,7,1,0,3,0,0,0,0,0,1,0,0,1,1,,FALSE
made,7,1,0,1,0,0,1,0,1,1,0,2,0,0,,FALSE
side,7,2,0,0,0,0,0,0,0,2,1,2,0,0,,FALSE
conquer,7,1,0,1,2,0,1,1,0,0,0,0,0,1,,FALSE
yourself,7,1,0,3,0,0,0,0,0,0,1,2,0,0,,FALSE
over,7,1,0,1,0,0,1,0,0,4,0,0,0,0,,FALSE
warfare,7,1,1,0,0,0,1,1,0,2,0,1,0,0,,FALSE
makes,7,2,1,0,1,0,0,0,0,2,1,0,0,0,,FALSE
many,7,2,1,0,0,0,2,0,0,1,0,0,0,1,,FALSE
hundred,7,0,1,1,0,0,1,1,0,0,0,0,0,3,,FALSE
front,7,0,1,0,0,0,0,1,0,1,1,3,0,0,,FALSE
coming,7,0,1,0,0,0,3,0,1,1,1,0,0,0,,FALSE
having,7,0,1,0,0,0,1,1,0,0,0,0,0,4,,FALSE
soldier,7,0,1,1,0,0,1,1,0,0,2,1,0,0,,FALSE
high,7,0,1,0,0,0,2,0,1,3,0,0,0,0,,FALSE
single,7,0,1,0,1,0,1,1,0,0,0,2,0,1,,FALSE
shall,7,0,1,0,0,0,3,1,0,0,0,2,0,0,,FALSE
strong,7,0,0,1,0,1,2,0,0,0,2,1,0,0,,FALSE
advance,7,0,0,1,0,0,1,2,0,3,0,0,0,0,,FALSE
himself,7,0,0,1,3,0,1,0,0,0,0,2,0,0,,FALSE
sign,7,0,0,0,3,0,0,0,0,4,0,0,0,0,,FALSE
four,7,0,0,0,0,1,1,0,0,2,0,2,1,0,,FALSE
once,7,0,0,0,0,1,0,0,0,1,2,1,2,0,,FALSE
shows,7,0,0,0,0,0,0,1,0,4,0,2,0,0,,FALSE
hostile,7,0,0,0,0,0,0,0,1,0,0,5,0,1,,FALSE
account,6,2,0,0,0,0,0,1,1,0,1,1,0,0,,FALSE
heaven,6,3,0,0,1,1,0,0,0,0,1,0,0,0,,FALSE
method,6,2,0,1,2,1,0,0,0,0,0,0,0,0,,FALSE
causes,6,1,3,1,0,0,0,0,0,0,1,0,0,0,,FALSE
